N,n,r,h,h_floor,eps_h,z_h,boost_G,delta10,rho30,fake_mirror,h_mirror,root_decimal,root_native,native_core,eps_bucket,native_cluster
12,6,1,2.5659103941172656,2,-1,-0.9775661700901488,2.0,2,12,1|2|1,1|-1|1,-1|2|-1,-1|12|-1,"1|(12,-1)|1",-1,eps=-1;rho30=12
20,10,2,1.9616121227831425,1,1,0.02740864265104294,1.3333333333333333,0,20,2|0|2,2|1|2,1|0|1,1|20|1,"2|(20,1)|2",1,eps=1;rho30=20
28,14,2,1.997682119926975,1,1,0.001639939288756342,1.2,8,28,2|8|2,2|1|2,1|8|1,1|28|1,"2|(28,1)|2",1,eps=1;rho30=28
30,15,3,4.565377727091596,4,-1,-0.7326234108114569,2.6666666666666665,0,0,3|0|3,3|-1|3,-1|0|-1,-1|0|-1,"3|(0,-1)|3",-1,eps=-1;rho30=0
42,21,4,4.7633129123299245,4,0,-0.34974221237852676,2.4,2,12,4|2|4,4|0|4,0|2|0,0|12|0,"4|(12,0)|4",0,eps=0;rho30=12
46,23,4,2.170312326902134,2,2,1.2419835498389473,1.0476190476190477,6,16,4|6|4,4|2|4,2|6|2,2|16|2,"4|(16,2)|4",2,eps=2;rho30=16
54,27,5,4.480738074014569,4,1,0.24530799401111672,2.0,4,24,5|4|5,5|1|5,1|4|1,1|24|1,"5|(24,1)|5",1,eps=1;rho30=24
60,30,6,6.300885782362677,6,0,-0.11986733867373724,2.6666666666666665,0,0,6|0|6,6|0|6,0|0|0,0|0|0,"6|(0,0)|6",0,eps=0;rho30=0
66,33,6,5.516013898630787,5,1,0.20607258277810298,2.2222222222222223,6,6,6|6|6,6|1|6,1|6|1,1|6|1,"6|(6,1)|6",1,eps=1;rho30=6
78,39,7,5.9189747729477284,5,2,0.44433710831798484,2.1818181818181817,8,18,7|8|7,7|2|7,2|8|2,2|18|2,"7|(18,2)|7",2,eps=2;rho30=18
84,42,8,6.779120309310647,6,2,0.46890644128319603,2.4,4,24,8|4|8,8|2|8,2|4|2,2|24|2,"8|(24,2)|8",2,eps=2;rho30=24
90,45,9,7.824801933209948,7,2,0.4201210011768432,2.6666666666666665,0,0,9|0|9,9|2|9,2|0|2,2|0|2,"9|(0,2)|9",2,eps=2;rho30=0
120,60,12,9.216887855374091,9,3,0.9167239015783162,2.6666666666666665,0,0,12|0|12,12|3|12,3|0|3,3|0|3,"12|(0,3)|12",3,eps=3;rho30=0
